portugues,Tupi_Referencia,Tupi_via_Guarani,Tupi_direto
Mesmo replicando as palavras de alguém a gente transgride a palavra de Deus?,Abá nhe'enga poepyka tiruãpe asé Tupã nhe'enga abyû?,Abá nhe'enga poepyka tiruãpe asé Tupã nhe'enga abyû?,Abá nhe'enga poepyka tiruãpe asé Tupã nhe'enga abyû?
Palavras de quem são essas?,Abá nhe'engûerape aîpó?,Abá nhe'engape ûĩ?,Abá nhe'engûerape aîpó?
Palavras de quem são aquelas?,Abá nhe'engûerape aîpó?,Abá nhe'engape ûĩ?,Abá nhe'engûerape aîpó?
"O homem, ao morrer um filho seu, fica longamente em pranto",Abá o a'yra re'õneme oîase'oerekópuku,Abá o a'yra re'õneme oîase'oerekópuku,Abá o a'yra re'õneme oîase'oerekópuku
Tendo medo de que alguém o maltrate muito,abá ogûerekomemûãeté suí onheangûabo,Abá o moabaeté suí onheangûabo,abá ogûerekomemûãeté suí onheangûabo
O que fica urdindo as palavras de alguém,Abá oînhe'ẽmonhãmonhangyba'e,abá nhe'enga momburûara,Abá oînhe'ẽmonhãmonhangyba'e
Uma pessoa em vão enfia a mão num recipiente de água benta,Abá opo'ẽ tenhẽ 'ykaraíba ruru pupé,Abáangaîpabĩ oîmondeb o îybá ygaîtĩ pupé,Abá opo'ẽ tenhẽ 'ykaraíba ruru pupé
estátua,abá ra'angaba,arugilá,abá ra'angaba
Quem Deus fez primeiro como habitantes do céu?,Abá ranhẽpe erimba'e Tupã oîmonhangypy ybaka porama?,Abá ranhẽpe erimba'e Tupã oîmonhangypy ybaka porama?,Abá ranhẽpe erimba'e Tupã oîmonhangypy ybaka porama?
"Filhos de índios, certamente","Abá ra'yra, ipó","Abá mondykaba, ipó","Abá ra'yra, ipó"
Filho de quem és tu?,Abá ra'yrape nde?,Abá ra'yrape nde?,Abá ra'yrape nde?
Filhos de quem eram esses?!,Abá ra'yrape ûĩ?!,Abá ra'yrape ûĩ?!,Abá ra'yrape ûĩ?!
Sei lá!,Abá ra'yrape ûĩ?! Sé! Filhos de quem eram esses?!,Na xe tekokuabi,Sé ruã!
matando as criações de alguém,abá reîmbaba îukábo,abá reîmbaba îukábo,abá reîmbaba îukábo
ficando a observar o procedimento das pessoas,abá rekó anduandupa,Abá rekó mombegûabo,abá rekó anduandupa
O destino final das coisas dos homens,Abá rekó mondykaba,A'epe opakatu abá mba'e obasẽne,Abá rekó mondykaba
Tornando notórios os vícios das pessoas,Abá rekopoxy mosãîa,Abá rekopûara kuabe'enga,Abá rekopoxy mosãîa
Aqueles outros dois deverão ser tomados segundo a vontade das pessoas,Abá remimotara rupi tarypyrama é amoaé mokõî,Kó abá remimotara rekóû a'e mokõî amõ,Abá remimotara rupi tarypyrama é amoaé mokõî
Alegrandose com a morte de alguém,Abá re'õagûera resé og orybamo,Abá re'õagûera resé og orybamo,Abá re'õagûera resé og orybamo
"Aos olhos dos homens somente, mas não de verdade,",Abá resápe nhote na supi ruãte,Abá resápe nhõ na supi ruãte,Abá resápe nhote na supi ruãte
O que cria mentiras por causa de alguém,Abá resé mo'ema oîmonhangyba'e,Abá resé nhemombe'u'uba,Abá resé mo'ema oîmonhangyba'e
Fazendo as pessoas terem ódio umas das outras por causa de alguém,Abá resé nhoamotare'yma rerekouká abá supé,Abá resé oporomoaîu,Abá resé nhoamotare'yma rerekouká abá supé
"Na casa de quem passaste tomandoas, antes de te esconderes?","Abá rokype erekûá tá, nhemimy îanondé?","Abápe eresó nde mũ pokeka, nde reîmbaba îanondé?","Abá rokype erekûá tá, nhemimy îanondé?"
"Na casa de quem passaste, tomandoas [isto é, as coisas roubadas], antes de te esconderes?","Abá rokype erekûá, tá, nhemimy îanondé?","Abá rokype erekûá, i mba'e rerasóbo, i ka'a e'ymebé?","Abá rokype erekûá, tá, nhemimy îanondé?"
Na casa de quem passaste?,Abá rokype erekûá?,Abá rokype erekûá?,Abá rokype erekûá?
Quem será que a trouxe?,Abá serã ogûeru?,Abá serã ogûeru?,Abá serã ogûeru?
Quem será como eu?,Abá serã xe îabé?,Abápe xe îá?,Abá serã xe îabé?
Mais que a todos os seres humanos embelezoua,Abá sosé pabẽ i momorangi,Abá sosé pabẽ i momorangi,Abá sosé pabẽ i momorangi
Acima de todas as pessoas embelezoua,Abá sosé pabẽ i momorangi,I apysykatu pabẽ i moîarukari,Abá sosé pabẽ i momorangi
"Dizendo maldades à toa para alguém, dandolhe má fama","Abá supé marã o'îabo tenhẽ, i moerapûana","Abá supé oîporoîukaíb, i moerapûana","Abá supé marã o'îabo tenhẽ, i moerapûana"
Contar aos homens a futura felicidade deles,Abá supé sekokatusagûama mombe'u,Nd'aîpapari sekokatusagûama abá supé,Abá supé sekokatusagûama mombe'u
Para quem a gente reza pela felicidade futura de sua alma?,Abá supépe asé îeruréû o 'anga rekokaturama resé?,Abá supépe asé îeruréû o 'anga rekokaturama resé?,Abá supépe asé îeruréû o 'anga rekokaturama resé?
Para quem a gente reza?,Abá supépe asé îeruréû?,Abá supépe asé îeruréû?,Abá supépe asé îeruréû?
Os homens reconheceramno como Deus verdadeiro?,Abá Tupãetéramo sekokuabi?,Oîkuabépe abá Tupãetéramo?,Abá Tupãetéramo sekokuabi?
Nomes de quem são esses?,Abáabá rerape eboinga?,Abáabá rerape eboinga?,Abáabá rerape eboinga?
Quem são os que rogam por nós a Deus?,Abáabápe asé resé Tupã mongetasaramo sekóû?,Abáabápe asé resé Tupã mongetasaramo sekóû?,Abáabápe asé resé Tupã mongetasaramo sekóû?
Quem são os que rogam a Deus por nós?,Abáabápe asé resé Tupã mongetasaramo sekóû?,Abáabápe asé resé Tupã mongetasaramo sekóû?,Abáabápe asé resé Tupã mongetasaramo sekóû?
Quem faz louvar o nome de Deus?,Abáabápe Tupã rera oîmoetéukar?,Abáabápe Tupã rera oîmoetéukar?,Abáabápe Tupã rera oîmoetéukar?
"Ah, um homem pecador há de ter mais coisas boas que eu!",Abáangaîpabĩ takó mba'ekatu ogûerekó xe suí mã!,Abáangaîpabĩ rekóû xe suí mba'ekatu be'ĩ mã!,Abáangaîpabĩ takó mba'ekatu ogûerekó xe suí mã!
homem muito preguiçoso,abáate'ymusu,abáate'ymusu,abáate'ymusu
Estrebuchei,Ababak,Aîmombe'u,Ababak
homem liberal,abáekoate'yme'yma,abáekoate'yme'yma,abáekoate'yme'yma
homem covarde,abáekoetee'yma,abáekotenhẽ,abáekoetee'yma
Eu sou um homem vadio,Abáekotenhẽ ixé,Abáekotenhẽ ixé,Abáekotenhẽ ixé
terrível,abaeté,erorrõ,abaeté
terror,abaeté,abangaba; panema (m); membeka covarde,abaeté
honrado,"abaeté; eté (r, s)",momiafisub,"abaeté; eté (r, s)"
valente,abaeté; kyre'ymbab/a; pyatã valentia,tatãngatu,abaeté; kyre'ymbab/a; pyatã valentia
"Filo estar como forro, alforrieio",Abaetéramo aîmoingó,"Xe rugûy aoba, ybyrá pepó",Abaetéramo aîmoingó
"boquitorto, homem da boca torta",abaîuruapẽ,abaîuruapẽ,abaîuruapẽ
íngreme,abaJb/a,agiieá2,abaJb/a
homem fugido,abákanhema,abákanhema,abákanhema
homem briguento,abámarãmotara,abámarãmotara,abámarãmotara
"homem apessoado, gentilhomem",abámatuetegûasu,"amõ karaíba, xe îar",abámatuetegûasu
homem falso,abámemûã,abámemûã,abámemûã
"homem grosseiro, zombeteiro",abámemûã,abámemûã,abámemûã
"Quem não saberia ter comido algo bom, esquecendose da excelência de seu sabor?",Abámo mba'ekatu 'uagûera n'oîkuabi xûé sé katûagûera resé o esaraîamo?,Abámo mba'ekatu 'uagûera n'oîkuabi xûé sé katûagûera resé o esaraîamo?,Abámo mba'ekatu 'uagûera n'oîkuabi xûé sé katûagûera resé o esaraîamo?
"Alguém não reconheceria ter comido algo bom, esquecendose da excelência de seu sabor?",Abámo mba'ekatu 'uagûera n'oîkuabi xûé sé katûagûera resé o esaraîamo?,Abámo mba'ekatu 'uagûera n'oîkuabi xûé sé katûagûera resé o esaraîamo?,Abámo mba'ekatu 'uagûera n'oîkuabi xûé sé katûagûera resé o esaraîamo?
Quem não reconheceria ter comido algo bom?,Abámo mba'ekatu 'uagûera n'oîkuabi xûé?,Abámo mba'ekatu 'uagûera n'oîkuabi xûé?,Abámo mba'ekatu 'uagûera n'oîkuabi xûé?
Um homem ladrão que foi posto na prisão como pena de assassinatos,Abámondá morapitîagûera repyramo mundeokype i mondebypyrûera,Abámondá mundeokype i mondebypyrûera abá mondá ré,Abámondá morapitîagûera repyramo mundeokype i mondebypyrûera
Um homem ladrão que foi posto na prisão como pena de chacinas,Abámondá morapitîagûera repyramo mundeokype i mondebypyrûera,Abámondá mundeokype i mondebypyrûera oîmoasagûera repyramo,Abámondá morapitîagûera repyramo mundeokype i mondebypyrûera
Um ladrão que fora posto na prisão,Abámondá mundeokype i mondebypyrûera,Abámondá mundeokype i mondebypyrûera,Abámondá mundeokype i mondebypyrûera
abatido,abangab,abangab,abangab
covardia,abangaba; panema (m); membeka covarde,abangaba; panema (m); membeka covarde,abangaba; panema (m); membeka covarde
pessoa paroleira,abánhe'engixûera,tekokuabe'yma,abánhe'engixûera
Eu sou homem manso,Abanherane'yma ixé,Abanherane'yma ixé,Abanherane'yma ixé
"Ora, quem seria aquele?",Abáp'akó é?,Abápe aîpó erimba'e?,Abáp'akó é?
"Quem, necessariamente, a gente chama, estando aflita?",Abáp'amẽ asé osenõî oîkotebẽmo?,Abá supépe asé îeruréû o nheangerekosápe?,Abáp'amẽ asé osenõî oîkotebẽmo?
Quem aquele (mandamento) transgride?,Abápe aîpoba'e oîaby?,Abápe aîpoba'e oîaby?,Abápe aîpoba'e oîaby?
Quem desobedece àquele?,Abápe aîpoba'e oîmomaran?,Abápe n'osapîari?,Abápe aîpoba'e oîmomaran?
"Quem o fez outrora, começando a pronunciálo?","Abápe aîpoba'e oîmonhang erimba'e, sa'angypŷabo?","Abápe aîpoba'e oîmonhang erimba'e, sa'angypŷabo?","Abápe aîpoba'e oîmonhang erimba'e, sa'angypŷabo?"
Quem fez isso outrora?,Abápe aîpoba'e oîmonhang erimba'e?,Abápe aîpoba'e oîmonhang erimba'e?,Abápe aîpoba'e oîmonhang erimba'e?
Quem cumpre aquele (mandamento)?,Abápe aîpoba'e oîmopor?,Abápe aîpoba'e oîmoeté?,Abápe aîpoba'e oîmopor?
Que habitante do mundo há como tu?,Abápe 'ara pora oîkó nde îabé?,Abápe nde îabé 'ara pupé sekóû?,Abápe 'ara pora oîkó nde îabé?
Que habitante do mundo há como tu?,Abápe 'ara pora oîkó nde îabé?,Abápe nde îabé 'ara pupé sekóû?,Abápe 'ara pora oîkó nde îabé?
Quem é a que fala a Deus por nós?,Abápe asé resé Tupã mongetasara sekóû?,Abáabápe asé resé Tupã mongetasara sekóû?,Abápe asé resé Tupã mongetasara sekóû?
Quem é o inimigo da gente?,Abápe asé sumarã?,Abápe asé sumarã?,Abápe asé sumarã?
Quem foi o que o entregou?,Abápe i me'engarama?,Abápe i me'engarama?,Abápe i me'engarama?
Quem devoraremos primeiro?,Abápe îa'u raẽne?,Abápe îaîmoasy ranhẽne?,Abápe îa'u raẽne?
"Quem aqui dá a cara, para cá olhando furtivamente?","Abápe ké sobasẽ, kûybõ oma'ẽnhemima?","Abápe ké sobasẽ, oma'ẽnhemima?","Abápe ké sobasẽ, kûybõ oma'ẽnhemima?"
Quem aqui dá a cara?,Abápe ké sobasẽ?,Abápe ké sobasẽ?,Abápe ké sobasẽ?
"Quem, hoje, é como eu?",Abápe kori xe îá?,"Abápe kori xe îá? Erĩ, aani!",Abápe kori xe îá?
"Quem, hoje, é como eu? Irra, ninguém!","Abápe kori xe îá? Erĩ, aani!",Abápe kori xe îá?,"Abápe kori xe îá? Erĩ, aani!"
Quem és tu?,Abápe nde?,Abápe nde?,Abápe nde?
Quem és tu?,Abápe nde?,Abápe nde?,Abápe nde?
"Quem és tu? Sarauaia, adversário antigo de franceses","Abápe nde? Saraûaîa, aîuruîubupîarûera","Abápe nde? Saraûaîa, aîuruîubupîarûera","Abápe nde? Saraûaîa, aîuruîubupîarûera"
Quem ficou ali?,Abápe opytá a'epe?,Abápe opytá a'epe?,Abápe opytá a'epe?
quem?,abápe?; (referindo,abápe?; (referindo,abápe?; (referindo
Quem é? Quem está aí?,Abápipó?,Abápipó?,Abápipó?
homem miserável,abáporeaûsubĩ,abápûapẽîara,abáporeaûsubĩ
Homem coitadinho,Abáporeaûsubĩ,Abáporeaûsubĩ xe reî,Abáporeaûsubĩ
Eu sou um homem soberbo,Abáporerobîare'yma ixé,Abáeté ixé,Abáporerobîare'yma ixé
homem soberbo,abáporoîukaíba,abámatueté,abáporoîukaíba
homem intolerante,abáporomborybe'yma,abátekokuabe'yma,abáporomborybe'yma
homem luxurioso,abáporopotara,abáporopotara,abáporopotara
homem severo,abaposykyîe'yma,abámemûã,abaposykyîe'yma
homem sovina,abápûapẽîara,abápûapẽ,abápûapẽîara
padre,abaré,abaré,abaré
A gente o faz ir em busca de padre também?,Abaré abépe asé oîpiamondó?,Asé serã i a'oîa'oîa'ok abaré supéno?,Abaré abépe asé oîpiamondó?
O padre que é colocado como guardião da gente,Abaré asé rerekoaramo i moingopyra,Abaré asé rerekoaramo oîeerekomemûãba'e,Abaré asé rerekoaramo i moingopyra
Os padrinhos junto ao padre ou a outra pessoa não podem casarse com o que batizaram,Abaré koîpó amõ abá pyri morerokarûera nd'e'ikatuî omendá gûemierokûera resé,Abaré abaré koîpó amõ abá pyri morerokarûera nd'e'ikatuî omendá o emierokûera resé,Abaré koîpó amõ abá pyri morerokarûera nd'e'ikatuî omendá gûemierokûera resé
"Não crêem no padre, bebendo cauim ao longo da noite","Abaré nd'ogûerobîari, putuna rupi okagûabo","Abaré nd'arobîari, putuna rupi okagûabo","Abaré nd'ogûerobîari, putuna rupi okagûabo"
o tradutor do padre,abaré nhe'engerekoara,abaré suí oîopysyrõba'e,abaré nhe'engerekoara
ouvir o sermão do padre,abaré nhe'ẽnhe'enga renduba,abaré nhe'ẽnhe'enga renduba,abaré nhe'ẽnhe'enga renduba
"Por os levarem os padres, não os amo","Abaré ogûerasoápe, n'asaûsubi","Abaré serasó resé, n'asaûsubi","Abaré ogûerasoápe, n'asaûsubi"
O próprio padre responsável por eles que o julgue,Abaré serekoara aé t'osekokuab,Abaré serekoara aé t'oîemongetá i xupé,Abaré serekoara aé t'osekokuab
Para o padre contáloá para que o anuncie na igreja,Abaré supé i mombe'uû Tupãokype seronhe'engaûama rine,Abaré supé t'îaîmombe'u Tupãokype,Abaré supé i mombe'uû Tupãokype seronhe'engaûama rine
bispo,abaregftasu,tupãoka,abaregftasu
homem ignorante,abátekokuabe'yma,abátekokuabe'yma,abátekokuabe'yma
"homem parvoeirão, ignorantão",abátekokuabe'ymusu,abátemipó,abátekokuabe'ymusu
homem muito entendido,abátekokugûákatu,abátekokugûákatu,abátekokugûákatu
Mas quem entregou os índios como coisas vossas?,"Abátepe erimba'e, pe mba'erama resé apŷaba me'enga'ubi?","Abátepe erimba'e, pe mba'erama resé apŷaba me'enga'ubi?","Abátepe erimba'e, pe mba'erama resé apŷaba me'enga'ubi?"
"Mas quem há semelhante a mim, desafiando até mesmo a Deus?","Abátepe oîkó xe oîá, Tupã tiruã momburûabo?","Abápe oîkó xe oîá, Tupã tiruã abá resé oîerekóbo?","Abátepe oîkó xe oîá, Tupã tiruã momburûabo?"
Mas quem há como eu?,Abátepe oîkó xe oîá?,Abátepe oîkó xe oîá?,Abátepe oîkó xe oîá?
"Mas quem, outrora, como vossas coisas os índios deu?","Abátepe, erimba'e, pe mba'erama resé apŷaba me'enga'ubi?","Abátepe erimba'e, pe mba'e me'enga'ubi abá supé?","Abátepe, erimba'e, pe mba'erama resé apŷaba me'enga'ubi?"
milho,abati,avati'yba,abati
milho de que se faz pão,abatitinga,miapé îyba,abatitinga
confuso,abato (v abaiõa),erorrõ,abato (v abaiõa)
homem membrudo,abátubixaba,abápûapẽ,abátubixaba
namorado,aba'yba,ioaüsuba,aba'yba
desde,abé; bé,abé; bé,abé; bé
também,abé; bé;,abé; bé;,abé; bé;
mais,abé; bé; bé,marangatueté,abé; bé; bé
juntamente,"abé; esebé (r, s)","abé; esebé (r, s)","abé; esebé (r, s)"
Vôo como este vento,Abebé kó ybytu îá,Aîpobu kó ybytu,Abebé kó ybytu îá
Vôo como este vento,Abebé kó ybytu îá,Aîpobu kó ybytu,Abebé kó ybytu îá
Vôo como este vento,Abebé kó ybytu îá,Aîpobu kó ybytu,Abebé kó ybytu îá
grenha,abebó,mbegüé,abebó
cabelo desgrenhado,abebó,akanga kábo,abebó
Sou leve,Abebuî,Abebuîkatu,Abebuîkatu
Sou leve,Abebuîkatu,Abebuîkatu,Abebuîkatu
Sou leviano,Abebuînhẽ,Abebuîkatu,Abebuînhẽ
pelar,abo'o (s),(intr): puk; (tr): mobok,abo'o (s)
"escabelar, desfazer o penteado de, desgrenhar o cabelo de, etc",abo'obo'o,"moîepebẽ, moîoparab, moîekotyr, amongoty",abo'obo'o
Inchei,Abur,A'é umûã,Abur
transgredir,aby,v animal,aby
semelhante,abyare'ym/a,abyare'ymja,abyare'ym/a
parecido,abyare'ymja,abyare'ym/a,abyare'ymja
pentear,abyky,ñabok,abyky
escovar,abyky1,andub,abyky1
Levantome,Abyr,Aîepubuî,Abyr
"Adão, nosso primeiro pai","Adão, oré rubypy","Adão, oré rubypy","Adão, oré rubypy"
"Adão, nosso primeiro pai, feznos perder verdadeiramente","Adão, oré rubypy, oré mokanhemeté","Adão, oré rubypy, oré mokanhemeté","Adão, oré rubypy, oré mokanhemeté"
"Adão, nosso primeiro pai, feznos perder verdadeiramente, para nos queimarmos no fogo do diabo","Adão, oré rubypy, oré mokanhemeté, Anhanga ratápe nhẽ oré kaîaûama ri","Adão, oré rubypy, oré mokanhemeté, Anhanga ratápe nhẽ oré momoxy nhẽ","Adão, oré rubypy, oré mokanhemeté, Anhanga ratápe nhẽ oré kaîaûama ri"
aquilo,a'e,a'e,a'e
porém,a'e,a'e;,a'e
Aquele padre que te batiza dá uma vela na tua mão,A'e abaré nde mongaraipara iraîtytataendy me'engi nde pópe,"A'e abaré nde remime'enga, tataendyetá me'engi nde pópe",A'e abaré nde mongaraipara iraîtytataendy me'engi nde pópe
Ele mesmo certamente me guarda,A'e aé ipó xe rerekó,A'e aé ipó xe rerekóûne re'a,A'e aé ipó xe rerekó
É ele o que dá o bem desses,A'e aé koba'e katu me'engara re'a,A'e aé koba'e katu me'engara re'a,A'e aé koba'e katu me'engara re'a
"É ele o que dá o bem desses, com certeza",A'e aé koba'e katu me'engara re'a,A'e aé koba'e katu me'engara re'a,A'e aé koba'e katu me'engara re'a
"Eles, na verdade, em três pessoas se distinguem",A'e anhẽ mosapyr pessoaamo i îa'oki,A'e anhẽ mosapyr pessoaamo i îa'oki,A'e anhẽ mosapyr pessoaamo i îa'oki
"Eles, na verdade, em três pessoas se distinguem, na união de seu único ser divino","A'e anhẽ mosapyr pessoaamo i îa'oki, oîepé og ekókaraíba îese'ara pupé nhẽ","Mosapyr pessoa anhẽ i îa'oki, Tupã oîepé nhẽ oîepegûasu","A'e anhẽ mosapyr pessoaamo i îa'oki, oîepé og ekókaraíba îese'ara pupé nhẽ"
"Eles, na verdade, em três pessoas se distinguem, na união de seu único ser divino","A'e anhẽ mosapyr pessoaamo i îa'oki, oîepé og ekókaraíba îese'ara pupé nhẽ","Mosapyr pessoa anhẽ i îa'oki, Tupã oîepé nhẽ oîepegûasu","A'e anhẽ mosapyr pessoaamo i îa'oki, oîepé og ekókaraíba îese'ara pupé nhẽ"
Só isso está acima de tudo o que deve ser desejado,A'e anhõ opakatu i potarypyra sosé,A'e anhõ opakatu îandé remimotara sosé,A'e anhõ opakatu i potarypyra sosé
"Após aquele revirarse do mundo, então os anjos vêm",A'e 'ara îepubur'iré a'ereme karaibebé ruri,"A'e yby îeakypûereroîebyri, karaibebé ruri",A'e 'ara îepubur'iré a'ereme karaibebé ruri
"Aquele que eu beijar na face, agarraio, atandolhe as mãos","A'e asetobapépyténe peîpysykatu kori, i popûá","A'e xe raûsukatupyra xe pysyk, xe momosema","A'e asetobapépyténe peîpysykatu kori, i popûá"
Digo novamente,A'é benhẽ,A'é benhẽ,A'é benhẽ
"Ainda, ainda me odeia fulano",A'é byter aîpó gûi'îabo  Ainda digo isso E'i bytébyterĩ ahẽ xe amotare'yma,"Îé, kó bé xe pûãpẽ",A'é byter aîpó gûi'îabo Ainda digo isso E'i bytébyterĩ ahẽ xe amotare'yma
Ainda o faço,A'é byter i monhanga,A'é benhẽ,A'é byter i monhanga
e portanto,a'e emonãnamo,emonãnamo é,emonãnamo é
Ele dentro dela está ocultamente,A'e i pupé sekónhemimi,I pupé kanhemi,A'e i pupé sekónhemimi
"Assim também fizeram com seus pés, pregandoos com cravos?","A'e îá bépe gûá i py rerekóû, itapygûá pupé i moîáno?","A'e îá bépe i atukupé rerobaká, i apiti?","A'e îá bépe gûá i py rerekóû, itapygûá pupé i moîáno?"
